"","desert"
"camel",0.33
"oasis",0.19
"dunes",0.16
"sand",0.14
"arid",0.12
"arabic",0.11
"vast",0.11
"dry",0.1
"egyptian",0.09
"al",0.08
"heat",0.08
"basin",0.07
"sands",0.07
