"","ferry"
"ferries",0.4
"island",0.34
"port",0.21
"islands",0.2
"terminal",0.2
"mainland",0.19
"boat",0.17
"harbour",0.16
"pier",0.15
"boats",0.14
"island's",0.14
"passenger",0.14
"island'''",0.13
"sea",0.13
"dock",0.12
"passengers",0.12
"jetty",0.11
"return",0.11
"strait",0.11
"bay",0.1
"beaches",0.1
"coast",0.1
"departs",0.1
"across",0.09
"beach",0.09
"cars",0.09
"catamaran",0.09
"departure",0.09
"departures",0.09
"docks",0.09
"harbor",0.09
"isle",0.09
"lighthouse",0.09
"marine",0.09
"operates",0.09
"peninsula",0.09
"rent",0.09
"sailing",0.09
"scheduled",0.09
"schedules",0.09
"service",0.09
"tip",0.09
"trip",0.09
"bicycles",0.08
"car",0.08
"crossing",0.08
"cruise",0.08
"daily",0.08
"danish",0.08
"day",0.08
"fishing",0.08
"maritime",0.08
"operate",0.08
"ports",0.08
"seafood",0.08
"services",0.08
"ship",0.08
"shipping",0.08
"ships",0.08
"shore",0.08
"sound",0.08
"takes",0.08
"times",0.08
"vehicle",0.08
"waterfront",0.08
"arriving",0.07
"bicycle",0.07
"coastline",0.07
"diving",0.07
"fish",0.07
"marina",0.07
"ride",0.07
"sandy",0.07
"singapore",0.07
"take",0.07
