"","finger"
"grape",0.16
"lakes",0.16
"york",0.15
"traverse",0.12
"oct",0.11
"hospital",0.1
"'''new",0.09
"flavored",0.09
"saving",0.09
"care",0.08
"new",0.07
"rt",0.07
"women's",0.07
