"","free"
"internet",0.27
"wireless",0.25
"wi-fi",0.24
"wifi",0.22
"breakfast",0.2
"parking",0.2
"rooms",0.2
"room",0.19
"fitness",0.18
"bar",0.17
"indoor",0.17
"pool",0.17
"shuttle",0.17
"suites",0.17
"outdoor",0.16
"business",0.15
"children",0.15
"offers",0.15
"open",0.15
"restaurant",0.15
"coffee",0.14
"friendly",0.14
"full",0.14
"hotel",0.14
"inn",0.14
"menu",0.14
"music",0.14
"night",0.14
"street",0.14
"su",0.14
"cable",0.13
"dining",0.13
"features",0.13
"laundry",0.13
"live",0.13
"lounge",0.13
"pets",0.13
"selection",0.13
"shopping",0.13
"staff",0.13
"tv",0.13
"access",0.12
"art",0.12
"available",0.12
"ave",0.12
"building",0.12
"center",0.12
"downtown",0.12
"dr",0.12
"every",0.12
"floor",0.12
"front",0.12
"guests",0.12
"high-speed",0.12
"hot",0.12
"include",0.12
"kitchen",0.12
"library",0.12
"prices",0.12
"rd",0.12
"right",0.12
"sa",0.12
"saturday",0.12
"service",0.12
"spacious",0.12
"st",0.12
"students",0.12
"ticket",0.12
"tickets",0.12
"admission",0.11
"arts",0.11
"bars",0.11
"beer",0.11
"buffet",0.11
"cafe",0.11
"charge",0.11
"cheaper",0.11
"closed",0.11
"club",0.11
"computer",0.11
"dinner",0.11
"double",0.11
"events",0.11
"expensive",0.11
"featuring",0.11
"food",0.11
"friday",0.11
"great",0.11
"heated",0.11
"hostel",0.11
"including",0.11
"lunch",0.11
"m-f",0.11
"museum",0.11
"next",0.11
"offer",0.11
"office",0.11
"price",0.11
"private",0.11
"seniors",0.11
"shop",0.11
"suite",0.11
"tours",0.11
"-room",0.1
"additional",0.1
"amenities",0.1
"atmosphere",0.1
"block",0.1
"boutique",0.1
"card",0.1
"cheap",0.1
"cocktails",0.1
"corner",0.1
"daily",0.1
"day",0.1
"discounts",0.1
"drinks",0.1
"equipped",0.1
"happy",0.1
"hour",0.1
"house",0.1
"includes",0.1
"mall",0.1
"meeting",0.1
"offering",0.1
"pay",0.1
"per",0.1
"public",0.1
"rates",0.1
"screen",0.1
"serves",0.1
"serving",0.1
"show",0.1
"single",0.1
"sports",0.1
"student",0.1
"style",0.1
"sunday",0.1
"swimming",0.1
"table",0.1
"try",0.1
"university",0.1
"use",0.1
"variety",0.1
"'re",0.09
"adults",0.09
"american",0.09
"avenue",0.09
"bathroom",0.09
"behind",0.09
"bike",0.09
"blocks",0.09
"blvd",0.09
"book",0.09
"budget",0.09
"call",0.09
"campus",0.09
"cards",0.09
"check",0.09
"clean",0.09
"collection",0.09
"concerts",0.09
"cost",0.09
"costs",0.09
"days",0.09
"desk",0.09
"discount",0.09
"discounted",0.09
"dishes",0.09
"dorm",0.09
"duty",0.09
"excellent",0.09
"exhibits",0.09
"extended",0.09
"extra",0.09
"f-sa",0.09
"family",0.09
"fine",0.09
"fresh",0.09
"fun",0.09
"garden",0.09
"good",0.09
"grill",0.09
"guided",0.09
"helpful",0.09
"italian",0.09
"jazz",0.09
"kids",0.09
"large",0.09
"minute",0.09
"minutes",0.09
"modern",0.09
"monday",0.09
"nice",0.09
"nights",0.09
"online",0.09
"opened",0.09
"outside",0.09
"paid",0.09
"park",0.09
"patio",0.09
"pick",0.09
"plus",0.09
"priced",0.09
"range",0.09
"rental",0.09
"sandwiches",0.09
"seating",0.09
"special",0.09
"specials",0.09
"standard",0.09
"store",0.09
"stores",0.09
"streets",0.09
"tables",0.09
"terrace",0.09
"thai",0.09
"theater",0.09
"thursday",0.09
"upscale",0.09
"value",0.09
"vegetarian",0.09
"walking",0.09
"weekend",0.09
"wide",0.09
"-site",0.08
"'s",0.08
"affordable",0.08
"always",0.08
"artists",0.08
"authentic",0.08
"bbq",0.08
"bed",0.08
"big",0.08
"bikes",0.08
"bit",0.08
"booking",0.08
"books",0.08
"cash",0.08
"children's",0.08
"classes",0.08
"close",0.08
"clubs",0.08
"cocktail",0.08
"companies",0.08
"computers",0.08
"convention",0.08
"cuisine",0.08
"dance",0.08
"delicious",0.08
"depending",0.08
"designed",0.08
"different",0.08
"door",0.08
"doubles",0.08
"end",0.08
"entrance",0.08
"event",0.08
"everything",0.08
"exercise",0.08
"exit",0.08
"fare",0.08
"fares",0.08
"feature",0.08
"fee",0.08
"feel",0.08
"fully",0.08
"gallery",0.08
"games",0.08
"gift",0.08
"guest",0.08
"hair",0.08
"included",0.08
"inside",0.08
"jacuzzi",0.08
"just",0.08
"little",0.08
"lobby",0.08
"location",0.08
"lockers",0.08
"lots",0.08
"luggage",0.08
"m-sa",0.08
"make",0.08
"market",0.08
"marriott",0.08
"massage",0.08
"mexican",0.08
"monthly",0.08
"movie",0.08
"note",0.08
"often",0.08
"order",0.08
"original",0.08
"owner",0.08
"pasta",0.08
"pedestrian",0.08
"pizza",0.08
"play",0.08
"plaza",0.08
"provides",0.08
"pub",0.08
"purchased",0.08
"quality",0.08
"quiet",0.08
"reasonable",0.08
"ride",0.08
"rooftop",0.08
"run",0.08
"salsa",0.08
"season",0.08
"shops",0.08
"short",0.08
"shows",0.08
"side",0.08
"speed",0.08
"stadium",0.08
"start",0.08
"stay",0.08
"sundays",0.08
"sure",0.08
"sushi",0.08
"terminal",0.08
"th",0.08
"theatre",0.08
"top",0.08
"tour",0.08
"transit",0.08
"tuesday",0.08
"unlimited",0.08
"usually",0.08
"venues",0.08
"walk",0.08
"website",0.08
"weekends",0.08
"work",0.08
"addition",0.07
"adult",0.07
"air",0.07
"balcony",0.07
"beers",0.07
"best",0.07
"bicycle",0.07
"bicycles",0.07
"bistro",0.07
"buy",0.07
"car",0.07
"chain",0.07
"cheapest",0.07
"chicken",0.07
"choice",0.07
"company",0.07
"concert",0.07
"conference",0.07
"course",0.07
"courses",0.07
"court",0.07
"credit",0.07
"customers",0.07
"deck",0.07
"delivery",0.07
"directly",0.07
"dorms",0.07
"drivers",0.07
"equipment",0.07
"even",0.07
"exchange",0.07
"express",0.07
"facilities",0.07
"find",0.07
"first",0.07
"gourmet",0.07
"hall",0.07
"holidays",0.07
"homemade",0.07
"hosts",0.07
"hours",0.07
"late",0.07
"local",0.07
"located",0.07
"locations",0.07
"maps",0.07
"min",0.07
"money",0.07
"onsite",0.07
"person",0.07
"phone",0.07
"pizzas",0.07
"place",0.07
"playing",0.07
"purchase",0.07
"renovated",0.07
"rides",0.07
"sa-su",0.07
"salads",0.07
"saturdays",0.07
"seafood",0.07
"sell",0.07
"sometimes",0.07
"square",0.07
"steak",0.07
"taxi",0.07
"throughout",0.07
"trolley",0.07
"vary",0.07
"view",0.07
"want",0.07
"wednesday",0.07
"weekdays",0.07
"weekly",0.07
"well",0.07
"wine",0.07
"within",0.07
"without",0.07
"works",0.07
"year",0.07
"young",0.07
