"","cable"
"bathrooms",0.24
"tv",0.24
"double",0.2
"rooms",0.2
"bathroom",0.19
"pension",0.18
"equipped",0.16
"internet",0.15
"laundry",0.14
"lcd",0.14
"room",0.14
"free",0.13
"car",0.12
"single",0.12
"hair",0.11
"toilet",0.11
"wi-fi",0.11
"rates",0.1
"wireless",0.1
"amenities",0.09
"deposit",0.09
"fan",0.09
"massage",0.09
"pool",0.09
"private",0.09
"ride",0.09
"swiss",0.09
"-room",0.08
"air-con",0.08
"clean",0.08
"dorm",0.08
"dvd",0.08
"facilities",0.08
"furnished",0.08
"hot",0.08
"hotel",0.08
"mall",0.08
"plaza",0.08
"ski",0.08
"start",0.08
"breakfast",0.07
"fitness",0.07
"suites",0.07
"swimming",0.07
"views",0.07
