"","tibetan"
"buddhist",0.21
"han",0.21
"monastery",0.18
"autonomous",0.17
"trekking",0.16
"prayer",0.15
"prefecture",0.15
"butter",0.13
"monks",0.13
"trek",0.11
"altitude",0.1
"guesthouse",0.1
"treks",0.1
"valleys",0.1
"china",0.09
"chinese",0.09
"wheels",0.09
"horse",0.08
"tea",0.08
"temple",0.08
"buddha",0.07
"minority",0.07
"sacred",0.07
