"","eaten"
"dish",0.21
"boiled",0.18
"fried",0.17
"cooked",0.15
"rice",0.15
"flour",0.14
"staple",0.14
"consumed",0.13
"fermented",0.13
"vegetables",0.13
"commonly",0.12
"made",0.12
"meat",0.12
"raw",0.12
"spicy",0.12
"steamed",0.12
"added",0.11
"dried",0.11
"milk",0.11
"mixed",0.11
"potatoes",0.11
"coconut",0.1
"dishes",0.1
"pork",0.1
"prepared",0.1
"roasted",0.1
"sauce",0.1
"seasoned",0.1
"spoken",0.1
"sweet",0.1
"topped",0.1
"usually",0.1
"bread",0.09
"common",0.09
"curry",0.09
"flavour",0.09
"ginger",0.09
"language",0.09
"languages",0.09
"served",0.09
"sometimes",0.09
"sour",0.09
"stew",0.09
"stuffed",0.09
"type",0.09
"version",0.09
"visa",0.09
"widely",0.09
"beans",0.08
"butter",0.08
"countries",0.08
"dialect",0.08
"dough",0.08
"eating",0.08
"egg",0.08
"foreign",0.08
"generally",0.08
"like",0.08
"meal",0.08
"mixture",0.08
"regions",0.08
"similar",0.08
"soup",0.08
"tipping",0.08
"try",0.08
"varieties",0.08
"vegetable",0.08
"called",0.07
"currency",0.07
"delicacies",0.07
"even",0.07
"famous",0.07
"foreigners",0.07
"instead",0.07
"juice",0.07
"parts",0.07
"potato",0.07
"prepaid",0.07
"sausage",0.07
"speak",0.07
"spices",0.07
"stall",0.07
"visas",0.07
"women",0.07
"wrapped",0.07
