"","russian"
"russia",0.4
"soviet",0.37
"moscow",0.28
"orthodox",0.2
"vodka",0.16
"monastery",0.13
"arctic",0.12
"drama",0.12
"region's",0.12
"republic",0.12
"borders",0.11
"capital",0.11
"alexander",0.1
"bordering",0.1
"cathedral",0.1
"ethnic",0.1
"european",0.1
"fortress",0.1
"language",0.1
"principal",0.1
"sim",0.1
"visa",0.1
"border",0.09
"conflict",0.09
"flights",0.09
"foreign",0.09
"founded",0.09
"georgian",0.09
"nuclear",0.09
"region",0.09
"regions",0.09
"second",0.09
"situation",0.09
"speak",0.09
"terrible",0.09
"war",0.09
"center",0.08
"century",0.08
"city",0.08
"empire",0.08
"europe",0.08
"far",0.08
"industrial",0.08
"languages",0.08
"military",0.08
"monument",0.08
"nature",0.08
"nicholas",0.08
"peter",0.08
"polish",0.08
"speaking",0.08
"territory",0.08
"trains",0.08
"wwii",0.08
"arrives",0.07
"citizens",0.07
"history",0.07
"knowledge",0.07
"political",0.07
