"","khan"
"ali",0.16
"mosque",0.14
"tomb",0.13
"mausoleum",0.12
"persian",0.1
"bazaar",0.09
"minister",0.09
"son",0.09
"bank",0.08
"dynasty",0.08
"mosques",0.08
"raja",0.08
"briefly",0.07
"fort",0.07
"islamic",0.07
"proud",0.07
"reign",0.07
"rickshaw",0.07
"ruled",0.07
