"","dynasty"
"song",0.19
"pagoda",0.16
"tombs",0.16
"china",0.15
"emperor",0.15
"chinese",0.14
"han",0.13
"ruled",0.13
"yellow",0.13
"temple",0.12
"rulers",0.11
"tomb",0.11
"wall",0.11
"ancient",0.1
"appointed",0.1
"built",0.1
"kingdom",0.1
"korea",0.1
"korean",0.1
"rule",0.1
"pavilion",0.09
"period",0.09
"pillars",0.09
"writing",0.09
"buddhist",0.08
"dragon",0.08
"drum",0.08
"foreigner",0.08
"khan",0.08
"later",0.08
"orders",0.08
"temples",0.08
"took",0.08
"capital",0.07
"carved",0.07
"egyptian",0.07
"king",0.07
"origin",0.07
"relics",0.07
"sultan",0.07
