"","line'''"
"japan's",0.21
"jr",0.21
"shinkansen",0.21
"japan",0.19
"expwy",0.18
"tokyo",0.17
"chicago",0.11
"japanese",0.11
"yen",0.11
"cherry",0.1
"line",0.1
"prefecture",0.1
"shrine",0.1
"subway",0.1
"lime",0.09
"station",0.09
"connects",0.08
"express",0.08
"holders",0.08
"limited",0.08
"linking",0.08
"rapid",0.08
"station'''",0.08
"trains",0.08
"rail",0.07
"stations",0.07
