"","dos"
"da",0.45
"das",0.36
"centro",0.34
"brazilian",0.29
"de",0.28
"rio",0.24
"africa",0.21
"santo",0.21
"grande",0.18
"default",0.17
"portuguese",0.16
"pedro",0.15
"avenida",0.14
"jesus",0.14
"parque",0.14
"porto",0.14
"francisco",0.12
"municipal",0.11
"verde",0.11
"carlos",0.1
"casa",0.1
"colonial",0.1
"mar",0.1
"santa",0.1
"ecological",0.09
"km",0.09
"miguel",0.09
"nova",0.09
"nacional",0.08
"city's",0.07
"deserted",0.07
"founded",0.07
"maria",0.07
"sol",0.07
"waterfalls",0.07
