"","catch"
"bus",0.13
"can",0.11
"get",0.11
"will",0.11
"buses",0.1
"taxi",0.1
"ask",0.09
"cost",0.09
"driver",0.09
"drop",0.09
"leave",0.09
"locals",0.09
"make",0.09
"need",0.09
"ride",0.09
"sure",0.09
"take",0.09
"trip",0.09
"wait",0.09
"'ll",0.08
"'re",0.08
"buy",0.08
"change",0.08
"cheap",0.08
"find",0.08
"go",0.08
"malaysian",0.08
"morning",0.08
"night",0.08
"onward",0.08
"return",0.08
"walk",0.08
"want",0.08
"'s",0.07
"going",0.07
"good",0.07
"station",0.07
"taxis",0.07
"tell",0.07
"time",0.07
"try",0.07
