"","groups"
"ethnic",0.16
"different",0.1
"group",0.1
"always",0.09
"armed",0.09
"avoid",0.09
"families",0.09
"foreign",0.09
"tour",0.09
"violence",0.09
"areas",0.08
"citizens",0.08
"common",0.08
"countries",0.08
"december",0.08
"generally",0.08
"often",0.08
"people",0.08
"peoples",0.08
"safe",0.08
"special",0.08
"students",0.08
"valid",0.08
"advanced",0.07
"charge",0.07
"cultural",0.07
"illegal",0.07
"languages",0.07
"money",0.07
"passport",0.07
"pay",0.07
"student",0.07
"throughout",0.07
"tours",0.07
"violent",0.07
"visa",0.07
"without",0.07
