"","business"
"fitness",0.19
"shopping",0.16
"downtown",0.15
"free",0.15
"mall",0.15
"meeting",0.14
"hotel",0.13
"indoor",0.13
"internet",0.13
"suites",0.13
"center",0.12
"malls",0.12
"coffee",0.11
"conference",0.11
"food",0.11
"marriott",0.11
"opened",0.11
"rates",0.11
"restaurant",0.11
"stores",0.11
"street",0.11
"wireless",0.11
"amenities",0.1
"avenue",0.1
"bar",0.1
"convention",0.1
"dining",0.1
"discounted",0.1
"district",0.1
"executive",0.1
"features",0.1
"metro",0.1
"plaza",0.1
"traffic",0.1
"university",0.1
"upscale",0.1
"american",0.09
"asian",0.09
"authentic",0.09
"breakfast",0.09
"chain",0.09
"chicken",0.09
"chinese",0.09
"city's",0.09
"consult",0.09
"corner",0.09
"corporate",0.09
"court",0.09
"electronic",0.09
"equipped",0.09
"fast",0.09
"floor",0.09
"government",0.09
"high-speed",0.09
"include",0.09
"including",0.09
"inn",0.09
"laundry",0.09
"lobby",0.09
"menu",0.09
"new",0.09
"outdoor",0.09
"retail",0.09
"room",0.09
"rooms",0.09
"serves",0.09
"store",0.09
"streets",0.09
"transit",0.09
"variety",0.09
"-room",0.08
"additional",0.08
"affordable",0.08
"airport",0.08
"armed",0.08
"art",0.08
"banquet",0.08
"beer",0.08
"businesses",0.08
"campus",0.08
"class",0.08
"club",0.08
"commercial",0.08
"cuisine",0.08
"currency",0.08
"deluxe",0.08
"exercise",0.08
"exit",0.08
"fare",0.08
"featuring",0.08
"financial",0.08
"first",0.08
"floors",0.08
"guard",0.08
"heated",0.08
"hotels",0.08
"italian",0.08
"japanese",0.08
"lcd",0.08
"live",0.08
"located",0.08
"locations",0.08
"lounge",0.08
"major",0.08
"modern",0.08
"music",0.08
"offers",0.08
"police",0.08
"prices",0.08
"public",0.08
"recently",0.08
"seating",0.08
"shop",0.08
"standard",0.08
"star",0.08
"start",0.08
"strongly",0.08
"theatre",0.08
"united",0.08
"wi-fi",0.08
"arts",0.07
"bars",0.07
"broadband",0.07
"cab",0.07
"card",0.07
"cards",0.07
"check",0.07
"clothing",0.07
"companies",0.07
"convenient",0.07
"doubles",0.07
"drivers",0.07
"events",0.07
"exchange",0.07
"facilities",0.07
"fares",0.07
"hangout",0.07
"heart",0.07
"high-end",0.07
"hilton",0.07
"innovative",0.07
"light",0.07
"like",0.07
"list",0.07
"location",0.07
"lunch",0.07
"pool",0.07
"selection",0.07
"serve",0.07
"service",0.07
"shops",0.07
"special",0.07
"stadium",0.07
"staff",0.07
"style",0.07
"system",0.07
"technology",0.07
"throughout",0.07
"trade",0.07
"venues",0.07
"website",0.07
"wide",0.07
"work",0.07
