"","creek"
"inn",0.13
"trail",0.13
"dr",0.12
"golf",0.12
"miles",0.12
"highway",0.11
"rd",0.11
"campground",0.1
"downtown",0.1
"hwy",0.1
"state",0.1
"county",0.09
"drive",0.09
"east",0.09
"features",0.09
"interstate",0.09
"mile",0.09
"motel",0.09
"phone",0.09
"ranch",0.09
"recreation",0.09
"st",0.09
"acres",0.08
"arts",0.08
"ave",0.08
"blvd",0.08
"cabins",0.08
"course",0.08
"grill",0.08
"lake",0.08
"ln",0.08
"park",0.08
"picnic",0.08
"rv",0.08
"suites",0.08
"trail'''",0.08
"vineyard",0.08
"west",0.08
"wineries",0.08
"winery",0.08
"alaska",0.07
"bed",0.07
"jackson",0.07
"jefferson",0.07
"outdoor",0.07
"pkwy",0.07
"ridge",0.07
"trails",0.07
"us",0.07
