"","pork"
"fried",0.17
"dish",0.16
"chicken",0.15
"bacon",0.14
"beef",0.14
"dishes",0.14
"meat",0.14
"soup",0.14
"cooked",0.13
"boiled",0.12
"sauce",0.12
"spicy",0.12
"noodles",0.11
"rice",0.11
"roast",0.11
"seasoned",0.11
"eaten",0.1
"fermented",0.1
"grilled",0.1
"steamed",0.1
"try",0.1
"cheese",0.09
"egg",0.09
"flavored",0.09
"made",0.09
"milk",0.09
"noodle",0.09
"pig",0.09
"potato",0.09
"printed",0.09
"beans",0.08
"blood",0.08
"chili",0.08
"curry",0.08
"duck",0.08
"english",0.08
"like",0.08
"meats",0.08
"mixed",0.08
"potatoes",0.08
"served",0.08
"similar",0.08
"smoked",0.08
"speak",0.08
"stew",0.08
"stuffed",0.08
"usually",0.08
"vegetables",0.08
"wrapped",0.08
"always",0.07
"bean",0.07
"coconut",0.07
"common",0.07
"compared",0.07
"dialect",0.07
"exchange",0.07
"filled",0.07
"instead",0.07
"often",0.07
"organic",0.07
"roasted",0.07
"salad",0.07
"sausage",0.07
"sometimes",0.07
"spanish",0.07
"spoken",0.07
"topped",0.07
