"","bought"
"tickets",0.33
"card",0.26
"credit",0.25
"ticket",0.2
"organized",0.17
"search",0.17
"sell",0.14
"inside",0.12
"read",0.12
"cheaper",0.11
"need",0.11
"sold",0.11
"valid",0.11
"buy",0.1
"can",0.1
"shops",0.1
"transport",0.1
"accept",0.09
"bus",0.09
"buying",0.09
"cards",0.09
"costs",0.09
"directly",0.09
"entry",0.09
"european",0.09
"machines",0.09
"might",0.09
"prepaid",0.09
"price",0.09
"special",0.09
"train",0.09
"buses",0.08
"change",0.08
"cheap",0.08
"expensive",0.08
"machine",0.08
"map",0.08
"note",0.08
"pay",0.08
"prices",0.08
"public",0.08
"usually",0.08
"airport",0.07
"book",0.07
"countries",0.07
"exchange",0.07
"least",0.07
"network",0.07
"time",0.07
"trains",0.07
"use",0.07
