"","booked"
"advance",0.19
"book",0.13
"tickets",0.12
"booking",0.11
"credit",0.1
"must",0.1
"online",0.1
"card",0.09
"cheaper",0.09
"expensive",0.09
"offices",0.09
"available",0.08
"charge",0.08
"cost",0.08
"days",0.08
"exchange",0.08
"hotels",0.08
"may",0.08
"often",0.08
"passengers",0.08
"pay",0.08
"per",0.08
"person",0.08
"price",0.08
"return",0.08
"rooms",0.08
"ticket",0.08
"trips",0.08
"budget",0.07
"can",0.07
"day",0.07
"depending",0.07
"even",0.07
"expect",0.07
"insurance",0.07
"journey",0.07
"money",0.07
"note",0.07
"offer",0.07
"operate",0.07
"prepaid",0.07
"prices",0.07
"services",0.07
"singapore",0.07
"single",0.07
"sleeper",0.07
"time",0.07
"tours",0.07
"travel",0.07
"trip",0.07
"usually",0.07
"will",0.07
