"","noodles"
"rice",0.2
"noodle",0.19
"chinese",0.16
"fried",0.15
"sauce",0.14
"soup",0.13
"balls",0.12
"chicken",0.12
"spicy",0.12
"beef",0.11
"china",0.11
"mandarin",0.11
"pork",0.11
"version",0.11
"bowl",0.1
"curry",0.09
"dish",0.09
"dishes",0.09
"jalan",0.09
"japan",0.09
"japanese",0.09
"malaysian",0.09
"paper",0.09
"sweet",0.09
"ubiquitous",0.09
"yellow",0.09
"cheap",0.08
"egg",0.08
"hot",0.08
"japan's",0.08
"malaysia",0.08
"meat",0.08
"singapore",0.08
"sour",0.08
"steamed",0.08
"thick",0.08
"topped",0.08
"bean",0.07
"chili",0.07
"dragon",0.07
"hong",0.07
"vegetables",0.07
