"","market"
"flea",0.16
"saturday",0.15
"stalls",0.15
"farmers",0.14
"selling",0.14
"centre",0.13
"farmers'",0.13
"food",0.13
"markets",0.13
"market'''",0.12
"street",0.12
"vendors",0.12
"farmer's",0.11
"produce",0.11
"square",0.11
"sunday",0.11
"buy",0.1
"cheap",0.1
"every",0.1
"fresh",0.1
"good",0.1
"goods",0.1
"hall",0.1
"opposite",0.1
"selection",0.1
"shops",0.1
"thursday",0.1
"wednesday",0.1
"cinema",0.09
"friday",0.09
"night",0.09
"place",0.09
"pubs",0.09
"restaurant",0.09
"shopping",0.09
"chinese",0.08
"clothes",0.08
"find",0.08
"floating",0.08
"free",0.08
"friendly",0.08
"fruit",0.08
"hotel",0.08
"house",0.08
"items",0.08
"local",0.08
"london",0.08
"morning",0.08
"music",0.08
"number",0.08
"prices",0.08
"products",0.08
"pub",0.08
"sell",0.08
"serving",0.08
"streets",0.08
"taxis",0.08
"thai",0.08
"town",0.08
"tuesday",0.08
"wi-fi",0.08
"around",0.07
"beer",0.07
"building",0.07
"busy",0.07
"cafe",0.07
"coffee",0.07
"dong",0.07
"english",0.07
"excellent",0.07
"modern",0.07
"motorbike",0.07
"outside",0.07
"quality",0.07
"range",0.07
"sellers",0.07
"shop",0.07
"taxi",0.07
