"","centre"
"pubs",0.18
"town",0.17
"services",0.16
"railway",0.14
"shopping",0.14
"market",0.13
"hotel",0.12
"london",0.12
"pub",0.12
"situated",0.12
"station",0.12
"bus",0.11
"castle",0.11
"centres",0.11
"century",0.11
"church",0.11
"coach",0.11
"exhibition",0.11
"manchester",0.11
"motorway",0.11
"opposite",0.11
"train",0.11
"walk",0.11
"cycle",0.1
"leisure",0.1
"medieval",0.1
"modern",0.1
"old",0.1
"range",0.1
"regular",0.1
"trains",0.1
"uk",0.1
"visitor",0.1
"ales",0.09
"around",0.09
"building",0.09
"cathedral",0.09
"cinema",0.09
"close",0.09
"good",0.09
"hall",0.09
"journey",0.09
"network",0.09
"number",0.09
"run",0.09
"shops",0.09
"tourist",0.09
"transport",0.09
"well",0.09
"abbey",0.08
"arms",0.08
"car",0.08
"caravan",0.08
"centre'''",0.08
"clubs",0.08
"coaches",0.08
"cosy",0.08
"dublin",0.08
"easily",0.08
"gallery",0.08
"heritage",0.08
"hostel",0.08
"ireland",0.08
"junction",0.08
"kilometres",0.08
"large",0.08
"links",0.08
"metres",0.08
"next",0.08
"operate",0.08
"outside",0.08
"roundabout",0.08
"rugby",0.08
"theatre",0.08
"times",0.08
"victoria",0.08
"apartments",0.07
"bank",0.07
"built",0.07
"buses",0.07
"club",0.07
"direct",0.07
"evenings",0.07
"facilities",0.07
"football",0.07
"former",0.07
"harbour",0.07
"high",0.07
"holiday",0.07
"museum",0.07
"office",0.07
"royal",0.07
"star",0.07
"towards",0.07
"tower",0.07
"town's",0.07
"wide",0.07
"within",0.07
