"","nordic"
"sweden",0.18
"norwegian",0.13
"swedish",0.13
"finnish",0.12
"relaxation",0.12
"ski",0.12
"wilderness",0.12
"exterior",0.11
"skiing",0.11
"danish",0.09
"massage",0.09
"arctic",0.08
"panorama",0.08
"winter",0.08
"decoration",0.07
"norway",0.07
