"","lounge"
"bar",0.2
"dining",0.15
"live",0.14
"restaurant",0.14
"club",0.13
"free",0.13
"ave",0.12
"cocktail",0.12
"music",0.12
"selection",0.12
"st",0.12
"cocktails",0.11
"dance",0.11
"fitness",0.11
"inn",0.11
"pool",0.11
"room",0.11
"avenue",0.1
"breakfast",0.1
"casual",0.1
"friendly",0.1
"great",0.1
"indoor",0.1
"lunch",0.1
"menu",0.1
"offers",0.1
"open",0.1
"pizza",0.1
"pub",0.1
"seating",0.1
"street",0.1
"upscale",0.1
"atmosphere",0.09
"buffet",0.09
"cafe",0.09
"coffee",0.09
"cuisine",0.09
"dinner",0.09
"downtown",0.09
"drinks",0.09
"family",0.09
"features",0.09
"fireplace",0.09
"food",0.09
"friday",0.09
"front",0.09
"grill",0.09
"internet",0.09
"italian",0.09
"kitchen",0.09
"mall",0.09
"night",0.09
"outdoor",0.09
"patio",0.09
"rooftop",0.09
"screen",0.09
"sports",0.09
"suites",0.09
"tv",0.09
"block",0.08
"blvd",0.08
"business",0.08
"conference",0.08
"corner",0.08
"crowd",0.08
"featuring",0.08
"floor",0.08
"full",0.08
"garden",0.08
"hip",0.08
"house",0.08
"jazz",0.08
"nightclub",0.08
"nights",0.08
"offer",0.08
"rd",0.08
"rooms",0.08
"saturday",0.08
"shop",0.08
"shopping",0.08
"spacious",0.08
"steakhouse",0.08
"style",0.08
"stylish",0.08
"sushi",0.08
"table",0.08
"wi-fi",0.08
"arts",0.07
"authentic",0.07
"bars",0.07
"bed",0.07
"bedrooms",0.07
"bistro",0.07
"burger",0.07
"decor",0.07
"dj",0.07
"djs",0.07
"downstairs",0.07
"enjoy",0.07
"events",0.07
"fresh",0.07
"fridays",0.07
"fully",0.07
"fun",0.07
"guests",0.07
"happy",0.07
"heart",0.07
"offering",0.07
"parking",0.07
"phone",0.07
"se",0.07
"suite",0.07
"trendy",0.07
"upstairs",0.07
"wide",0.07
"wireless",0.07
