"","floor"
"ground",0.19
"floors",0.17
"building",0.16
"mosaic",0.16
"dance",0.15
"room",0.14
"second",0.14
"internet",0.13
"rooms",0.13
"bar",0.12
"free",0.12
"staff",0.12
"top",0.12
"basement",0.11
"cheap",0.11
"front",0.11
"modern",0.11
"next",0.11
"price",0.11
"selection",0.11
"style",0.11
"bathroom",0.1
"behind",0.1
"cafe",0.1
"coffee",0.1
"dishes",0.1
"drinks",0.1
"first",0.1
"food",0.1
"music",0.1
"night",0.1
"restaurant",0.1
"roof",0.1
"shopping",0.1
"art",0.09
"balcony",0.09
"bars",0.09
"business",0.09
"charge",0.09
"clean",0.09
"clubs",0.09
"cocktails",0.09
"collection",0.09
"complex",0.09
"cost",0.09
"costs",0.09
"door",0.09
"english",0.09
"entrance",0.09
"expensive",0.09
"hotel",0.09
"inside",0.09
"large",0.09
"look",0.09
"made",0.09
"menu",0.09
"office",0.09
"open",0.09
"opened",0.09
"outside",0.09
"prices",0.09
"rooftop",0.09
"serves",0.09
"shop",0.09
"square",0.09
"streets",0.09
"ticket",0.09
"tickets",0.09
"try",0.09
"university",0.09
"windows",0.09
"worth",0.09
"always",0.08
"ask",0.08
"atmosphere",0.08
"authentic",0.08
"beer",0.08
"block",0.08
"book",0.08
"books",0.08
"breakfast",0.08
"buffet",0.08
"cheaper",0.08
"cinema",0.08
"closed",0.08
"corner",0.08
"courtyard",0.08
"curry",0.08
"decent",0.08
"decorated",0.08
"decorative",0.08
"djs",0.08
"double",0.08
"driver",0.08
"excavated",0.08
"excellent",0.08
"find",0.08
"garden",0.08
"glass",0.08
"good",0.08
"gym",0.08
"hall",0.08
"japanese",0.08
"karaoke",0.08
"kitchen",0.08
"late",0.08
"live",0.08
"lounge",0.08
"lunch",0.08
"make",0.08
"mall",0.08
"museum",0.08
"nice",0.08
"opposite",0.08
"order",0.08
"palace",0.08
"pay",0.08
"plaza",0.08
"pool",0.08
"reasonable",0.08
"renovated",0.08
"seating",0.08
"single",0.08
"stadium",0.08
"station",0.08
"student",0.08
"students",0.08
"table",0.08
"taxi",0.08
"terminal",0.08
"tv",0.08
"usually",0.08
"variety",0.08
"vegetarian",0.08
"view",0.08
"vip",0.08
"want",0.08
"wi-fi",0.08
"window",0.08
"young",0.08
"'ll",0.07
"another",0.07
"best",0.07
"bit",0.07
"buy",0.07
"cards",0.07
"ceiling",0.07
"central",0.07
"chinese",0.07
"classes",0.07
"contains",0.07
"crowd",0.07
"customers",0.07
"delicious",0.07
"different",0.07
"dj",0.07
"drivers",0.07
"every",0.07
"expats",0.07
"extra",0.07
"fare",0.07
"fee",0.07
"foreign",0.07
"friendly",0.07
"house",0.07
"huge",0.07
"imported",0.07
"laundry",0.07
"minutes",0.07
"pedestrian",0.07
"per",0.07
"place",0.07
"right",0.07
"seats",0.07
"set",0.07
"shared",0.07
"shops",0.07
"spacious",0.07
"special",0.07
"stairs",0.07
"street",0.07
"sushi",0.07
"taxis",0.07
"walk",0.07
"wide",0.07
"works",0.07
