"","downtown"
"inn",0.24
"street",0.22
"ave",0.21
"avenue",0.21
"st",0.19
"transit",0.19
"american",0.18
"college",0.18
"historic",0.18
"mall",0.18
"arts",0.17
"campus",0.17
"interstate",0.17
"theater",0.17
"center",0.16
"features",0.16
"grill",0.16
"suites",0.16
"university",0.16
"upscale",0.16
"washington",0.16
"amtrak",0.15
"blvd",0.15
"business",0.15
"chicago",0.15
"dining",0.15
"featuring",0.15
"mexican",0.15
"movie",0.15
"phone",0.15
"pizza",0.15
"art",0.14
"broadway",0.14
"county",0.14
"east",0.14
"live",0.14
"located",0.14
"service",0.14
"shopping",0.14
"west",0.14
"baseball",0.13
"blocks",0.13
"convention",0.13
"dr",0.13
"greyhound",0.13
"miles",0.13
"music",0.13
"outdoor",0.13
"park",0.13
"railroad",0.13
"state",0.13
"stores",0.13
"sushi",0.13
"united",0.13
"bar",0.12
"chain",0.12
"city's",0.12
"drive",0.12
"exit",0.12
"free",0.12
"home",0.12
"indoor",0.12
"marriott",0.12
"offers",0.12
"patio",0.12
"performing",0.12
"rd",0.12
"specialty",0.12
"us",0.12
"antique",0.11
"casual",0.11
"events",0.11
"favorite",0.11
"fitness",0.11
"fun",0.11
"highway",0.11
"hosts",0.11
"italian",0.11
"league",0.11
"north",0.11
"parking",0.11
"parkway",0.11
"public",0.11
"riverfront",0.11
"sandwiches",0.11
"symphony",0.11
"theatre",0.11
"variety",0.11
"york",0.11
"authentic",0.1
"beers",0.1
"block",0.1
"boulevard",0.1
"brewing",0.1
"brunch",0.1
"classic",0.1
"coffee",0.1
"community",0.1
"corner",0.1
"creek",0.1
"depot",0.1
"diner",0.1
"f-sa",0.1
"great",0.1
"jefferson",0.1
"malls",0.1
"menu",0.1
"metro",0.1
"plays",0.1
"restaurant",0.1
"selection",0.1
"serves",0.1
"specials",0.1
"store",0.1
"su",0.1
"system",0.1
"airport'''",0.09
"area",0.09
"bands",0.09
"burgers",0.09
"businesses",0.09
"cab",0.09
"cafe",0.09
"capitol",0.09
"city",0.09
"commercial",0.09
"concert",0.09
"courthouse",0.09
"cream",0.09
"deli",0.09
"eclectic",0.09
"event",0.09
"exhibit",0.09
"exhibits",0.09
"farmer's",0.09
"food",0.09
"galleries",0.09
"games",0.09
"hockey",0.09
"homemade",0.09
"ice",0.09
"jazz",0.09
"library",0.09
"locations",0.09
"lounge",0.09
"lunch",0.09
"new",0.09
"ohio",0.09
"orchestra",0.09
"plaza",0.09
"provides",0.09
"retail",0.09
"runs",0.09
"saturday",0.09
"seating",0.09
"seniors",0.09
"shuttle",0.09
"south",0.09
"sports",0.09
"steak",0.09
"steakhouse",0.09
"streets",0.09
"taco",0.09
"theaters",0.09
"throughout",0.09
"traffic",0.09
"trail",0.09
"union",0.09
"across",0.08
"adjacent",0.08
"airport",0.08
"america's",0.08
"artists",0.08
"atmosphere",0.08
"authority",0.08
"basketball",0.08
"bike",0.08
"bistro",0.08
"breakfast",0.08
"brew",0.08
"burger",0.08
"california",0.08
"call",0.08
"center'''",0.08
"children's",0.08
"civic",0.08
"columbus",0.08
"concerts",0.08
"craft",0.08
"dinner",0.08
"east-west",0.08
"exits",0.08
"festival",0.08
"fine",0.08
"flavors",0.08
"franklin",0.08
"friday",0.08
"golf",0.08
"grille",0.08
"held",0.08
"hwy",0.08
"include",0.08
"including",0.08
"jackson",0.08
"major",0.08
"men's",0.08
"mile",0.08
"musical",0.08
"nation's",0.08
"northwest",0.08
"pkwy",0.08
"regional",0.08
"register",0.08
"rotating",0.08
"route",0.08
"routes",0.08
"rush",0.08
"sa",0.08
"salads",0.08
"science",0.08
"selections",0.08
"served",0.08
"serving",0.08
"signature",0.08
"southwest",0.08
"stadium",0.08
"steaks",0.08
"students",0.08
"suburbs",0.08
"texas",0.08
"trolley",0.08
"unique",0.08
"vintage",0.08
"walnut",0.08
"waterfront",0.08
"weekend",0.08
"whirlpool",0.08
"wireless",0.08
"america",0.07
"annual",0.07
"bbq",0.07
"beer",0.07
"blues",0.07
"buffet",0.07
"canada",0.07
"canadian",0.07
"candy",0.07
"check",0.07
"chili",0.07
"club",0.07
"commerce",0.07
"commuter",0.07
"company",0.07
"core",0.07
"diverse",0.07
"express",0.07
"family",0.07
"fare",0.07
"florida",0.07
"gourmet",0.07
"hamburgers",0.07
"hands-",0.07
"high-speed",0.07
"kids",0.07
"lincoln",0.07
"memorial",0.07
"museum",0.07
"newspaper",0.07
"nw",0.07
"programs",0.07
"pub",0.07
"shows",0.07
"sidewalks",0.07
"square",0.07
"states",0.07
"style",0.07
"tap",0.07
"tavern",0.07
"walkable",0.07
"walking",0.07
"weekends",0.07
