"","tomb"
"tombs",0.26
"mausoleum",0.18
"persian",0.18
"brother",0.17
"burial",0.14
"khan",0.13
"mosque",0.13
"emperor",0.12
"ali",0.11
"dynasty",0.11
"ancient",0.1
"sultan",0.1
"muslim",0.09
"believed",0.08
"buried",0.08
"century",0.08
"died",0.08
"mosques",0.08
"destroyed",0.07
"founder",0.07
"stone",0.07
"walls",0.07
