"","ohio"
"columbus",0.25
"county",0.25
"sr",0.23
"state",0.16
"horseshoe",0.15
"county'''",0.14
"route",0.13
"american",0.1
"county's",0.1
"primitive",0.1
"riverfront",0.1
"wv",0.1
"basketball",0.09
"counties",0.09
"downtown",0.09
"electric",0.09
"interstate",0.09
"newspaper",0.09
"phone",0.09
"seat",0.09
"virginia",0.09
"volleyball",0.09
"west",0.09
"airport'''",0.08
"confluence",0.08
"east",0.08
"launch",0.08
"pet",0.08
"published",0.08
"township",0.08
"bass",0.07
"freedom",0.07
"picnic",0.07
"playground",0.07
