"","king"
"reign",0.15
"bangkok",0.14
"royal",0.14
"queen",0.13
"built",0.09
"ii",0.09
"baht",0.08
"ban",0.08
"burger",0.08
"george",0.08
"kingdom",0.08
"kings",0.08
"palace",0.08
"ruled",0.08
"thai",0.08
"became",0.07
"dynasty",0.07
"edward",0.07
"later",0.07
"street",0.07
