"","serves"
"restaurant",0.2
"food",0.16
"bar",0.15
"lunch",0.15
"menu",0.14
"selection",0.13
"serve",0.13
"serving",0.13
"authentic",0.12
"cafe",0.12
"dishes",0.12
"variety",0.12
"chicken",0.11
"coffee",0.11
"cuisine",0.11
"delicious",0.11
"friendly",0.11
"great",0.11
"live",0.11
"open",0.11
"prices",0.11
"pub",0.11
"sandwiches",0.11
"atmosphere",0.1
"beer",0.1
"dining",0.1
"dinner",0.1
"downtown",0.1
"drinks",0.1
"excellent",0.1
"free",0.1
"fresh",0.1
"good",0.1
"italian",0.1
"music",0.1
"offers",0.1
"pizza",0.1
"pool",0.1
"shopping",0.1
"tasty",0.1
"beers",0.09
"best",0.09
"breakfast",0.09
"building",0.09
"burgers",0.09
"business",0.09
"chain",0.09
"city's",0.09
"floor",0.09
"including",0.09
"mains",0.09
"next",0.09
"opened",0.09
"outdoor",0.09
"reasonable",0.09
"seating",0.09
"served",0.09
"service",0.09
"shop",0.09
"staff",0.09
"street",0.09
"style",0.09
"sushi",0.09
"vegetarian",0.09
"wide",0.09
"also",0.08
"american",0.08
"asian",0.08
"bit",0.08
"blvd",0.08
"campus",0.08
"chef",0.08
"chinese",0.08
"cocktails",0.08
"features",0.08
"inside",0.08
"internet",0.08
"karaoke",0.08
"large",0.08
"meal",0.08
"nice",0.08
"night",0.08
"pizzas",0.08
"place",0.08
"room",0.08
"rooms",0.08
"sells",0.08
"specials",0.08
"store",0.08
"student",0.08
"university",0.08
"well",0.08
"'re",0.07
"'s",0.07
"always",0.07
"avenue",0.07
"classic",0.07
"corner",0.07
"customers",0.07
"decent",0.07
"decor",0.07
"expect",0.07
"favorite",0.07
"friday",0.07
"grilled",0.07
"homemade",0.07
"indoor",0.07
"items",0.07
"local",0.07
"mall",0.07
"meals",0.07
"nights",0.07
"outside",0.07
"popular",0.07
"quality",0.07
"salads",0.07
"saturday",0.07
"steaks",0.07
"students",0.07
"su",0.07
"sure",0.07
"table",0.07
"try",0.07
