"","shop"
"gift",0.24
"coffee",0.22
"sells",0.16
"store",0.16
"selection",0.15
"cafe",0.14
"open",0.14
"restaurant",0.14
"shops",0.14
"street",0.14
"bar",0.13
"cream",0.13
"food",0.13
"house",0.12
"items",0.12
"lunch",0.12
"books",0.11
"breakfast",0.11
"free",0.11
"gifts",0.11
"homemade",0.11
"ice",0.11
"menu",0.11
"sandwiches",0.11
"variety",0.11
"baked",0.1
"bakery",0.1
"dining",0.1
"dinner",0.1
"drinks",0.1
"family",0.1
"fresh",0.1
"friendly",0.1
"offers",0.1
"pizza",0.1
"rd",0.1
"sandwich",0.1
"selling",0.1
"shopping",0.1
"st",0.1
"antiques",0.09
"chicken",0.09
"chip",0.09
"corner",0.09
"deli",0.09
"door",0.09
"floor",0.09
"freshly",0.09
"good",0.09
"gourmet",0.09
"grocery",0.09
"live",0.09
"outdoor",0.09
"parking",0.09
"phone",0.09
"pub",0.09
"quality",0.09
"right",0.09
"room",0.09
"serves",0.09
"specials",0.09
"staff",0.09
"walk",0.09
"art",0.08
"atmosphere",0.08
"available",0.08
"bed",0.08
"behind",0.08
"buffet",0.08
"business",0.08
"buy",0.08
"children",0.08
"clothing",0.08
"crafts",0.08
"day",0.08
"delicious",0.08
"enjoy",0.08
"excellent",0.08
"favorite",0.08
"features",0.08
"featuring",0.08
"fine",0.08
"full",0.08
"fun",0.08
"gallery",0.08
"garden",0.08
"great",0.08
"handmade",0.08
"inn",0.08
"internet",0.08
"italian",0.08
"jewelry",0.08
"little",0.08
"local",0.08
"locally",0.08
"look",0.08
"lounge",0.08
"made",0.08
"music",0.08
"next",0.08
"night",0.08
"post",0.08
"prices",0.08
"range",0.08
"seating",0.08
"sell",0.08
"tea",0.08
"watch",0.08
"authentic",0.07
"ave",0.07
"bike",0.07
"book",0.07
"building",0.07
"cakes",0.07
"candy",0.07
"chocolate",0.07
"closed",0.07
"customers",0.07
"evening",0.07
"fashion",0.07
"grill",0.07
"indoor",0.07
"market",0.07
"offer",0.07
"opened",0.07
"place",0.07
"reasonable",0.07
"school",0.07
"seafood",0.07
"snacks",0.07
"souvenir",0.07
"special",0.07
"style",0.07
"tables",0.07
"tasty",0.07
