"","fine"
"dining",0.21
"art",0.14
"arts",0.12
"gallery",0.12
"selection",0.12
"live",0.11
"menu",0.11
"music",0.11
"bar",0.1
"boutique",0.1
"examples",0.1
"finest",0.1
"great",0.1
"offers",0.1
"open",0.1
"street",0.1
"variety",0.1
"artists",0.09
"casual",0.09
"classic",0.09
"cuisine",0.09
"excellent",0.09
"favorite",0.09
"features",0.09
"free",0.09
"full",0.09
"galleries",0.09
"indoor",0.09
"lunch",0.09
"outdoor",0.09
"pub",0.09
"restaurant",0.09
"st",0.09
"wide",0.09
"wine",0.09
"american",0.08
"breakfast",0.08
"charming",0.08
"collection",0.08
"designed",0.08
"dinner",0.08
"downtown",0.08
"eclectic",0.08
"enjoy",0.08
"featuring",0.08
"fitness",0.08
"food",0.08
"friday",0.08
"glass",0.08
"gourmet",0.08
"historic",0.08
"home",0.08
"house",0.08
"including",0.08
"italian",0.08
"jazz",0.08
"large",0.08
"late",0.08
"parking",0.08
"patio",0.08
"range",0.08
"sandwiches",0.08
"shop",0.08
"upscale",0.08
"atmosphere",0.07
"beer",0.07
"beers",0.07
"boasts",0.07
"building",0.07
"century",0.07
"chef",0.07
"clothing",0.07
"course",0.07
"events",0.07
"fresh",0.07
"friendly",0.07
"fun",0.07
"golf",0.07
"include",0.07
"offer",0.07
"plus",0.07
"quality",0.07
"revival",0.07
"saturday",0.07
"shopping",0.07
"style",0.07
"sunday",0.07
"theatre",0.07
"throughout",0.07
"trendy",0.07
"unique",0.07
"venues",0.07
"victorian",0.07
"well",0.07
"works",0.07
