"","play"
"football",0.17
"children's",0.14
"kids",0.14
"league",0.14
"music",0.14
"bands",0.13
"golf",0.13
"club",0.12
"games",0.12
"bar",0.11
"indoor",0.11
"shopping",0.11
"stadium",0.11
"team",0.11
"basketball",0.1
"clubs",0.1
"fun",0.1
"playing",0.1
"rugby",0.1
"sports",0.1
"teams",0.1
"children",0.09
"concert",0.09
"concerts",0.09
"courses",0.09
"live",0.09
"park",0.09
"plays",0.09
"saturday",0.09
"selection",0.09
"soccer",0.09
"tennis",0.09
"variety",0.09
"atmosphere",0.08
"bars",0.08
"baseball",0.08
"club'''",0.08
"crowd",0.08
"dining",0.08
"enjoy",0.08
"events",0.08
"family",0.08
"free",0.08
"friday",0.08
"game",0.08
"hockey",0.08
"musicians",0.08
"night",0.08
"offers",0.08
"outdoor",0.08
"pool",0.08
"pub",0.08
"stores",0.08
"watch",0.08
"weekend",0.08
"arts",0.07
"athletic",0.07
"coffee",0.07
"every",0.07
"feel",0.07
"food",0.07
"home",0.07
"host",0.07
"hosts",0.07
"karaoke",0.07
"miniature",0.07
"open",0.07
"parking",0.07
"pizza",0.07
"players",0.07
"restaurant",0.07
"roller",0.07
"volleyball",0.07
"wide",0.07
