"","owner"
"speaks",0.19
"clean",0.14
"friendly",0.14
"rooms",0.13
"room",0.12
"ask",0.11
"dorm",0.11
"helpful",0.11
"nice",0.11
"price",0.11
"staff",0.11
"bathroom",0.1
"double",0.1
"guesthouse",0.1
"night",0.1
"owners",0.1
"rooftop",0.1
"breakfast",0.09
"cost",0.09
"english",0.09
"good",0.09
"hostel",0.09
"per",0.09
"prices",0.09
"private",0.09
"restaurant",0.09
"right",0.09
"shared",0.09
"will",0.09
"attached",0.08
"balcony",0.08
"bit",0.08
"blocks",0.08
"book",0.08
"cheap",0.08
"food",0.08
"free",0.08
"front",0.08
"get",0.08
"help",0.08
"hot",0.08
"internet",0.08
"menu",0.08
"pay",0.08
"quite",0.08
"view",0.08
"walk",0.08
"want",0.08
"wi-fi",0.08
"'ll",0.07
"'s",0.07
"arrange",0.07
"bar",0.07
"budget",0.07
"delicious",0.07
"excellent",0.07
"expensive",0.07
"guest",0.07
"make",0.07
"motorbike",0.07
"person",0.07
"showers",0.07
"side",0.07
"simple",0.07
"sure",0.07
"try",0.07
