"","centro"
"da",0.39
"dos",0.34
"das",0.29
"de",0.26
"pedro",0.23
"municipal",0.22
"brazilian",0.19
"santo",0.16
"rio",0.14
"africa",0.13
"avenida",0.13
"casa",0.13
"jesus",0.13
"parque",0.13
"antonio",0.12
"colonial",0.12
"maria",0.12
"default",0.11
"francisco",0.11
"santa",0.11
"grande",0.1
"miguel",0.1
"calle",0.09
"carlos",0.09
"city's",0.09
"containing",0.09
"del",0.09
"mexico",0.09
"nacional",0.09
"plaza",0.09
"christ",0.08
"sol",0.08
"verde",0.08
"city",0.07
"cultural",0.07
"nova",0.07
"porto",0.07
