"","brewery"
"brewing",0.25
"beer",0.23
"brews",0.23
"breweries",0.17
"beers",0.14
"brewed",0.14
"brew",0.11
"ale",0.08
"german",0.08
"museum",0.08
"oldest",0.08
"pub",0.08
"ales",0.07
"comfy",0.07
"crown",0.07
"czech",0.07
