"","purchased"
"tickets",0.24
"online",0.14
"ticket",0.14
"purchase",0.12
"cards",0.11
"machines",0.11
"agents",0.1
"card",0.1
"must",0.1
"pay",0.1
"payment",0.1
"seats",0.1
"valid",0.1
"accept",0.09
"advance",0.09
"cash",0.09
"common",0.09
"cost",0.09
"currency",0.09
"driver",0.09
"exchange",0.09
"fares",0.09
"may",0.09
"paid",0.09
"passport",0.09
"prices",0.09
"sure",0.09
"available",0.08
"avoid",0.08
"costs",0.08
"drivers",0.08
"extra",0.08
"found",0.08
"free",0.08
"generally",0.08
"including",0.08
"likely",0.08
"look",0.08
"money",0.08
"offer",0.08
"often",0.08
"prepaid",0.08
"required",0.08
"throughout",0.08
"time",0.08
"typically",0.08
"usually",0.08
"visa",0.08
"allow",0.07
"always",0.07
"anything",0.07
"aware",0.07
"booth",0.07
"bottled",0.07
"can",0.07
"charge",0.07
"check",0.07
"credit",0.07
"expensive",0.07
"foreign",0.07
"least",0.07
"locations",0.07
"machine",0.07
"maps",0.07
"passengers",0.07
"paying",0.07
"price",0.07
"rate",0.07
"recent",0.07
"stores",0.07
"system",0.07
"tend",0.07
"ticketing",0.07
"unlimited",0.07
