"","buffet"
"lunch",0.17
"breakfast",0.16
"--can-eat",0.13
"restaurant",0.13
"dinner",0.12
"free",0.11
"menu",0.11
"bar",0.1
"chinese",0.1
"dining",0.1
"room",0.1
"rooms",0.1
"food",0.09
"inn",0.09
"lounge",0.09
"pool",0.09
"rd",0.09
"salad",0.09
"sandwiches",0.09
"steak",0.09
"steaks",0.09
"style",0.09
"bbq",0.08
"carte",0.08
"coffee",0.08
"floor",0.08
"fresh",0.08
"friendly",0.08
"guests",0.08
"live",0.08
"mall",0.08
"meal",0.08
"music",0.08
"night",0.08
"offers",0.08
"open",0.08
"outdoor",0.08
"pizza",0.08
"rooftop",0.08
"shop",0.08
"shopping",0.08
"table",0.08
"authentic",0.07
"club",0.07
"cocktails",0.07
"course",0.07
"dance",0.07
"dishes",0.07
"downtown",0.07
"fitness",0.07
"grill",0.07
"hotel",0.07
"indoor",0.07
"internet",0.07
"italian",0.07
"kong",0.07
"mexican",0.07
"price",0.07
"prices",0.07
"serving",0.07
"suites",0.07
"vegetarian",0.07
