"","avenida"
"calle",0.28
"de",0.19
"santo",0.16
"da",0.15
"plaza",0.15
"das",0.14
"dos",0.14
"parque",0.14
"centro",0.13
"del",0.13
"el",0.13
"las",0.13
"brazilian",0.12
"la",0.12
"'''la",0.11
"blocks",0.11
"casa",0.11
"spanish",0.11
"grande",0.1
"'''el",0.09
"avenues",0.09
"los",0.09
"municipal",0.09
"nacional",0.09
"pedro",0.09
"singles",0.09
"africa",0.08
"colonial",0.08
"lady",0.08
"latin",0.08
"mar",0.08
"rio",0.08
"san",0.08
"santa",0.08
"waiters",0.08
"av",0.07
"default",0.07
"easter",0.07
"mexico",0.07
