"","african"
"africa",0.28
"game",0.15
"embassy",0.14
"currency",0.13
"cape",0.12
"countries",0.12
"reserves",0.12
"visa",0.12
"default",0.11
"embassies",0.11
"republic",0.11
"visas",0.11
"airways",0.1
"petty",0.09
"safari",0.09
"westerners",0.09
"airlines",0.08
"bottled",0.08
"capital",0.08
"colonial",0.08
"country",0.08
"country's",0.08
"dangerous",0.08
"imported",0.08
"indigenous",0.08
"lodge",0.08
"nations",0.08
"pay",0.08
"president",0.08
"safe",0.08
"security",0.08
"violent",0.08
"''''''",0.07
"citizens",0.07
"en-suite",0.07
"flights",0.07
"french",0.07
"government",0.07
"guaranteed",0.07
"languages",0.07
"letter",0.07
"money",0.07
"political",0.07
"portuguese",0.07
"regions",0.07
"safety",0.07
"theft",0.07
