"","selling"
"stalls",0.22
"shops",0.19
"vendors",0.16
"market",0.14
"sell",0.12
"buy",0.11
"cheap",0.1
"drinks",0.1
"food",0.1
"goods",0.1
"shop",0.1
"able",0.09
"around",0.09
"cafes",0.09
"cost",0.09
"expect",0.09
"find",0.09
"local",0.09
"markets",0.09
"opposite",0.09
"pay",0.09
"prices",0.09
"stores",0.09
"streets",0.09
"taxi",0.09
"try",0.09
"walk",0.09
"will",0.09
"ask",0.08
"beer",0.08
"book",0.08
"cheaper",0.08
"costs",0.08
"crafts",0.08
"every",0.08
"fruit",0.08
"internet",0.08
"items",0.08
"money",0.08
"night",0.08
"office",0.08
"price",0.08
"produce",0.08
"quite",0.08
"selection",0.08
"slightly",0.08
"souvenirs",0.08
"staff",0.08
"stall",0.08
"bars",0.07
"cards",0.07
"clean",0.07
"clothes",0.07
"coffee",0.07
"driver",0.07
"especially",0.07
"evening",0.07
"expensive",0.07
"generally",0.07
"little",0.07
"locals",0.07
"might",0.07
"note",0.07
"per",0.07
"rooms",0.07
"serving",0.07
"sold",0.07
"taxis",0.07
"tourist",0.07
"usually",0.07
"worth",0.07
