"","several"
"including",0.13
"times",0.12
"also",0.11
"usually",0.11
"companies",0.1
"especially",0.1
"large",0.1
"often",0.1
"although",0.09
"areas",0.09
"around",0.09
"bars",0.09
"buses",0.09
"found",0.09
"many",0.09
"may",0.09
"offer",0.09
"places",0.09
"prices",0.09
"quite",0.09
"shops",0.09
"smaller",0.09
"sometimes",0.09
"trains",0.09
"travel",0.09
"well",0.09
"'ll",0.08
"day",0.08
"different",0.08
"even",0.08
"expensive",0.08
"find",0.08
"hotels",0.08
"larger",0.08
"least",0.08
"less",0.08
"lines",0.08
"make",0.08
"much",0.08
"note",0.08
"one",0.08
"parts",0.08
"roads",0.08
"routes",0.08
"still",0.08
"stores",0.08
"without",0.08
"along",0.07
"bit",0.07
"buildings",0.07
"can",0.07
"flights",0.07
"generally",0.07
"good",0.07
"locations",0.07
"others",0.07
"outside",0.07
"popular",0.07
"rather",0.07
"run",0.07
"terminal",0.07
"throughout",0.07
"tickets",0.07
