"","puts"
"tribute",0.13
"brief",0.11
"intimate",0.11
"team",0.11
"mall'''",0.1
"players",0.1
"arena",0.09
"ready",0.09
"voted",0.09
"enters",0.08
"heat",0.08
"vibrant",0.08
