"","homemade"
"baked",0.16
"breakfast",0.14
"cream",0.14
"fresh",0.13
"ice",0.13
"lunch",0.13
"menu",0.13
"sandwiches",0.13
"delicious",0.11
"dining",0.11
"family",0.11
"flavors",0.11
"full",0.11
"gift",0.11
"gourmet",0.11
"offers",0.11
"open",0.11
"pizza",0.11
"shop",0.11
"soups",0.11
"street",0.11
"bar",0.1
"coffee",0.1
"dinner",0.1
"featuring",0.1
"italian",0.1
"live",0.1
"outdoor",0.1
"pasta",0.1
"pies",0.1
"selection",0.1
"specialty",0.1
"variety",0.1
"bakery",0.09
"cafe",0.09
"cakes",0.09
"downtown",0.09
"gifts",0.09
"great",0.09
"grill",0.09
"indoor",0.09
"restaurant",0.09
"saturday",0.09
"store",0.09
"-site",0.08
"acres",0.08
"american",0.08
"antique",0.08
"arts",0.08
"atmosphere",0.08
"authentic",0.08
"bed",0.08
"bread",0.08
"chocolate",0.08
"crafts",0.08
"deli",0.08
"espresso",0.08
"everything",0.08
"favorite",0.08
"features",0.08
"food",0.08
"friendly",0.08
"fun",0.08
"handmade",0.08
"inn",0.08
"music",0.08
"offering",0.08
"salads",0.08
"specials",0.08
"st",0.08
"steak",0.08
"antiques",0.07
"classes",0.07
"dinners",0.07
"free",0.07
"mexican",0.07
"ny",0.07
"phone",0.07
"potato",0.07
"room",0.07
"salad",0.07
"seafood",0.07
"serves",0.07
"suites",0.07
"vintage",0.07
