"","china"
"chinese",0.31
"mandarin",0.25
"hong",0.18
"han",0.17
"dynasty",0.15
"autonomous",0.13
"kong",0.13
"minority",0.11
"noodles",0.11
"friendship",0.1
"korea",0.1
"korean",0.1
"province",0.1
"vietnam",0.1
"baggage",0.09
"buddhist",0.09
"communist",0.09
"ethnic",0.09
"foreign",0.09
"song",0.09
"tibetan",0.09
"asia",0.08
"compound",0.08
"dialect",0.08
"domestic",0.08
"dragon",0.08
"economic",0.08
"emperor",0.08
"foreigners",0.08
"pagoda",0.08
"people's",0.08
"rice",0.08
"silk",0.08
"yellow",0.08
"high-speed",0.07
"tombs",0.07
"wall",0.07
