"","del"
"san",0.31
"de",0.27
"la",0.27
"calle",0.23
"los",0.23
"della",0.21
"di",0.21
"spanish",0.21
"el",0.2
"piazza",0.19
"sol",0.19
"casa",0.18
"playa",0.18
"plaza",0.17
"puerto",0.17
"juan",0.16
"las",0.16
"santa",0.16
"parque",0.15
"sur",0.15
"'''la",0.14
"costa",0.14
"dei",0.14
"gran",0.14
"mar",0.14
"maria",0.14
"'''el",0.13
"avenida",0.13
"nacional",0.13
"pesos",0.13
"villa",0.13
"'''san",0.12
"punta",0.12
"mexico",0.11
"pedro",0.11
"rio",0.11
"spain",0.11
"miguel",0.1
"monte",0.1
"blocks",0.09
"centro",0.09
"con",0.09
"cruz",0.09
"default",0.09
"latin",0.09
"rome",0.09
"santo",0.09
"tapas",0.09
"antonio",0.08
"caribbean",0.08
"carlos",0.08
"colonial",0.08
"jose",0.08
"mexican",0.08
"santiago",0.08
"sierra",0.08
"al",0.07
"dorms",0.07
"hostel",0.07
"province",0.07
"typical",0.07
