"","bay"
"bay'''",0.3
"beach",0.23
"ocean",0.17
"beaches",0.15
"island",0.15
"marine",0.15
"sandy",0.15
"coast",0.14
"coastal",0.13
"fishing",0.13
"peninsula",0.13
"waterfront",0.13
"bays",0.12
"seafood",0.12
"boat",0.11
"cape",0.11
"francisco",0.11
"harbor",0.11
"harbour",0.11
"sand",0.11
"sea",0.11
"shore",0.11
"views",0.11
"whale",0.11
"yacht",0.11
"cove",0.1
"dive",0.1
"ferry",0.1
"lighthouse",0.1
"marina",0.1
"oyster",0.1
"port",0.1
"resort",0.1
"surf",0.1
"surfing",0.1
"whales",0.1
"diving",0.09
"dolphin",0.09
"dolphins",0.09
"fish",0.09
"golf",0.09
"pier",0.09
"point",0.09
"tip",0.09
"villas",0.09
"waters",0.09
"beach'''",0.08
"beachfront",0.08
"bedroom",0.08
"charters",0.08
"coral",0.08
"cruise",0.08
"island's",0.08
"islands",0.08
"jose",0.08
"luxury",0.08
"naval",0.08
"reef",0.08
"shark",0.08
"sheltered",0.08
"sunset",0.08
"tide",0.08
"tropical",0.08
"waves",0.08
"wharf",0.08
"boardwalk",0.07
"boats",0.07
"charter",0.07
"coastline",0.07
"cruises",0.07
"deck",0.07
"dock",0.07
"end",0.07
"fresh",0.07
"holiday",0.07
"inlet",0.07
"lobster",0.07
"pacific",0.07
"sailing",0.07
"seaside",0.07
"secluded",0.07
"snorkeling",0.07
