"","icon"
"mother",0.16
"god",0.14
"virgin",0.13
"mary",0.11
"presented",0.11
"noble",0.1
"target",0.1
"wealthy",0.1
"donated",0.09
"monastery",0.09
"aspect",0.08
"basis",0.08
"confused",0.08
"remnants",0.08
"manor",0.07
"status",0.07
