"","museum"
"history",0.3
"art",0.26
"collection",0.26
"exhibits",0.25
"artifacts",0.18
"building",0.18
"displays",0.16
"historical",0.16
"museums",0.16
"exhibition",0.15
"children",0.14
"hall",0.14
"historic",0.14
"house",0.14
"century",0.13
"housed",0.13
"old",0.13
"st",0.13
"su",0.13
"admission",0.12
"arts",0.12
"buildings",0.12
"built",0.12
"cathedral",0.12
"church",0.12
"closed",0.12
"dedicated",0.12
"exhibit",0.12
"former",0.12
"gallery",0.12
"memorial",0.12
"oldest",0.12
"original",0.12
"sa",0.12
"center",0.11
"city's",0.11
"display",0.11
"free",0.11
"museum's",0.11
"street",0.11
"war",0.11
"city",0.1
"cultural",0.1
"features",0.1
"founded",0.1
"science",0.1
"society",0.1
"theatre",0.1
"artist",0.09
"donations",0.09
"festival",0.09
"gothic",0.09
"houses",0.09
"library",0.09
"life",0.09
"m-f",0.09
"m-sa",0.09
"maritime",0.09
"modern",0.09
"monument",0.09
"music",0.09
"open",0.09
"park",0.09
"railroad",0.09
"restored",0.09
"sa-su",0.09
"seniors",0.09
"theater",0.09
"tower",0.09
"tu-su",0.09
"university",0.09
"works",0.09
"american",0.08
"artefacts",0.08
"artists",0.08
"ave",0.08
"aviation",0.08
"brewery",0.08
"castle",0.08
"contains",0.08
"dating",0.08
"devoted",0.08
"events",0.08
"fame",0.08
"first",0.08
"floor",0.08
"focuses",0.08
"german",0.08
"hands-",0.08
"hosts",0.08
"inn",0.08
"mansion",0.08
"mondays",0.08
"municipal",0.08
"museum'''",0.08
"objects",0.08
"palace",0.08
"permanent",0.08
"phone",0.08
"pioneer",0.08
"regional",0.08
"replica",0.08
"sat",0.08
"sculpture",0.08
"showcases",0.08
"shows",0.08
"square",0.08
"students",0.08
"th",0.08
"train",0.08
"zoo",0.08
"baroque",0.07
"centre",0.07
"children's",0.07
"daily",0.07
"downtown",0.07
"featuring",0.07
"opened",0.07
"today",0.07
"tools",0.07
