"","pocket"
"pockets",0.25
"educated",0.23
"combining",0.17
"territory",0.15
"--",0.14
"cluster",0.14
"-called",0.13
"understood",0.13
"occupation",0.12
"roots",0.12
"shares",0.11
"spiritual",0.11
"spoken",0.1
"consists",0.09
"isolated",0.09
"mixed",0.08
"common",0.07
"containing",0.07
"official",0.07
