"","stalls"
"selling",0.22
"market",0.15
"stall",0.14
"jalan",0.13
"malaysia",0.13
"food",0.12
"sell",0.11
"fruit",0.1
"rice",0.1
"air-con",0.09
"baht",0.09
"chinese",0.09
"indonesian",0.09
"malaysian",0.09
"markets",0.09
"opposite",0.09
"thai",0.09
"around",0.08
"bangkok",0.08
"budget",0.08
"buy",0.08
"charge",0.08
"cheap",0.08
"clean",0.08
"cost",0.08
"dishes",0.08
"drivers",0.08
"find",0.08
"fried",0.08
"money",0.08
"night",0.08
"price",0.08
"prices",0.08
"roadside",0.08
"sellers",0.08
"staff",0.08
"taxis",0.08
"thailand",0.08
"vendors",0.08
"buses",0.07
"cheaper",0.07
"front",0.07
"goods",0.07
"locals",0.07
"market'''",0.07
"motorbike",0.07
"noodle",0.07
"number",0.07
"pay",0.07
"reasonable",0.07
"shops",0.07
"terminal",0.07
"will",0.07
