"","important"
"became",0.14
"cities",0.14
"cultural",0.14
"century",0.13
"capital",0.12
"part",0.12
"ancient",0.11
"importance",0.11
"monuments",0.11
"religious",0.11
"built",0.1
"considered",0.1
"famous",0.1
"oldest",0.1
"rich",0.1
"role",0.1
"second",0.1
"called",0.09
"city",0.09
"connected",0.09
"country's",0.09
"holy",0.09
"india",0.09
"largest",0.09
"later",0.09
"major",0.09
"medieval",0.09
"modern",0.09
"museums",0.09
"roman",0.09
"temple",0.09
"today",0.09
"trade",0.09
"world",0.09
"among",0.08
"biggest",0.08
"churches",0.08
"culture",0.08
"economic",0.08
"europe",0.08
"european",0.08
"first",0.08
"historical",0.08
"history",0.08
"hub",0.08
"islamic",0.08
"kingdom",0.08
"known",0.08
"middle",0.08
"one",0.08
"parts",0.08
"period",0.08
"pilgrimage",0.08
"preserved",0.08
"railway",0.08
"region",0.08
"remains",0.08
"since",0.08
"site",0.08
"still",0.08
"temples",0.08
"took",0.08
"trading",0.08
"used",0.08
"valuable",0.08
"years",0.08
"almost",0.07
"conquered",0.07
"contains",0.07
"destroyed",0.07
"due",0.07
"km",0.07
"language",0.07
"played",0.07
"ruled",0.07
"tamil",0.07
"transport",0.07
