"","student"
"students",0.31
"university",0.29
"campus",0.2
"college",0.15
"academic",0.11
"art",0.11
"music",0.11
"valid",0.11
"bars",0.1
"beers",0.1
"card",0.1
"city's",0.1
"european",0.1
"free",0.1
"id",0.1
"senior",0.1
"ticket",0.1
"tickets",0.1
"adult",0.09
"arts",0.09
"beer",0.09
"cheap",0.09
"closed",0.09
"clubs",0.09
"concert",0.09
"concerts",0.09
"crowd",0.09
"discount",0.09
"football",0.09
"gay",0.09
"hall",0.09
"modern",0.09
"night",0.09
"nights",0.09
"school",0.09
"selection",0.09
"venues",0.09
"atmosphere",0.08
"bar",0.08
"basement",0.08
"building",0.08
"cheaper",0.08
"child",0.08
"cinema",0.08
"collection",0.08
"dance",0.08
"discounts",0.08
"djs",0.08
"electronic",0.08
"event",0.08
"events",0.08
"every",0.08
"excellent",0.08
"expensive",0.08
"floor",0.08
"housing",0.08
"live",0.08
"museums",0.08
"often",0.08
"oldest",0.08
"order",0.08
"science",0.08
"serves",0.08
"shows",0.08
"streets",0.08
"sunday",0.08
"th",0.08
"theatre",0.08
"trendy",0.08
"usually",0.08
"vary",0.08
"vegan",0.08
"vegetarian",0.08
"vibrant",0.08
"wednesday",0.08
"wide",0.08
"belgian",0.07
"books",0.07
"bookstore",0.07
"botanical",0.07
"buildings",0.07
"check",0.07
"chocolate",0.07
"christmas",0.07
"coffee",0.07
"comedy",0.07
"cultural",0.07
"cycling",0.07
"dec",0.07
"designed",0.07
"different",0.07
"drinks",0.07
"foreign",0.07
"gallery",0.07
"generally",0.07
"groups",0.07
"halls",0.07
"lively",0.07
"locations",0.07
"machines",0.07
"note",0.07
"open",0.07
"pay",0.07
"pedestrian",0.07
"quality",0.07
"sa",0.07
"saturday",0.07
"shopping",0.07
"show",0.07
"stadium",0.07
"system",0.07
"trams",0.07
"variety",0.07
"venue",0.07
