"","pizza"
"italian",0.2
"restaurant",0.19
"pizzeria",0.18
"street",0.17
"bar",0.16
"deli",0.16
"inn",0.16
"pizzas",0.16
"cream",0.15
"crust",0.15
"downtown",0.15
"phone",0.15
"sandwiches",0.15
"st",0.15
"ave",0.14
"burger",0.14
"food",0.14
"grill",0.14
"menu",0.14
"avenue",0.13
"delivery",0.13
"diner",0.13
"great",0.13
"ice",0.13
"lunch",0.13
"pasta",0.13
"rd",0.13
"salads",0.13
"cafe",0.12
"family",0.12
"oven",0.12
"store",0.12
"tavern",0.12
"variety",0.12
"american",0.11
"coffee",0.11
"dining",0.11
"dr",0.11
"favorite",0.11
"homemade",0.11
"mall",0.11
"mexican",0.11
"selection",0.11
"shopping",0.11
"take-",0.11
"atmosphere",0.1
"bakery",0.1
"classic",0.1
"delicious",0.1
"lounge",0.1
"movie",0.1
"parlor",0.1
"serves",0.1
"shop",0.1
"specials",0.1
"sports",0.1
"stores",0.1
"sushi",0.1
"york",0.1
"authentic",0.09
"baked",0.09
"blvd",0.09
"boston",0.09
"breakfast",0.09
"casual",0.09
"center",0.09
"chain",0.09
"chicken",0.09
"club",0.09
"college",0.09
"corner",0.09
"dinner",0.09
"entrees",0.09
"friday",0.09
"fun",0.09
"gourmet",0.09
"house",0.09
"hut",0.09
"indoor",0.09
"kids",0.09
"library",0.09
"live",0.09
"mcdonalds",0.09
"music",0.09
"offers",0.09
"open",0.09
"owned",0.09
"pub",0.09
"sandwich",0.09
"steakhouse",0.09
"taco",0.09
"theatre",0.09
"upscale",0.09
"arts",0.08
"basketball",0.08
"best",0.08
"bistro",0.08
"buffet",0.08
"burgers",0.08
"campus",0.08
"county",0.08
"cuisine",0.08
"dog",0.08
"drive",0.08
"drive-",0.08
"exit",0.08
"f-sa",0.08
"fast",0.08
"features",0.08
"featuring",0.08
"free",0.08
"fresh",0.08
"fri",0.08
"friendly",0.08
"golf",0.08
"grille",0.08
"interstate",0.08
"ln",0.08
"located",0.08
"miles",0.08
"new",0.08
"outdoor",0.08
"park",0.08
"place",0.08
"right",0.08
"sa",0.08
"salad",0.08
"saturday",0.08
"school",0.08
"specialty",0.08
"starbucks",0.08
"steak",0.08
"su",0.08
"appetizers",0.07
"baseball",0.07
"dairy",0.07
"main",0.07
"parking",0.07
"play",0.07
"plaza",0.07
"ristorante",0.07
"sunday",0.07
"tasty",0.07
"theater",0.07
"wings",0.07
"wireless",0.07
