"","century"
"church",0.22
"built",0.21
"buildings",0.17
"castle",0.17
"medieval",0.17
"roman",0.17
"cathedral",0.16
"monastery",0.16
"became",0.15
"building",0.15
"churches",0.15
"gothic",0.15
"rebuilt",0.15
"remains",0.15
"ancient",0.14
"baroque",0.14
"old",0.14
"walls",0.14
"dates",0.13
"dating",0.13
"fortress",0.13
"founded",0.13
"important",0.13
"late",0.13
"museum",0.13
"tower",0.13
"centuries",0.12
"destroyed",0.12
"later",0.12
"monuments",0.12
"nineteenth",0.12
"romanesque",0.12
"ruins",0.12
"today",0.12
"centre",0.11
"early",0.11
"hall",0.11
"now",0.11
"oldest",0.11
"saint",0.11
"abbey",0.1
"byzantine",0.1
"catholic",0.1
"collection",0.1
"dated",0.1
"erected",0.1
"first",0.1
"former",0.1
"fortified",0.1
"frescoes",0.1
"houses",0.1
"lived",0.1
"nowadays",0.1
"palace",0.1
"since",0.1
"stone",0.1
"used",0.1
"ad",0.09
"chapel",0.09
"classical",0.09
"convent",0.09
"dedicated",0.09
"example",0.09
"exhibition",0.09
"heritage",0.09
"historical",0.09
"history",0.09
"modern",0.09
"original",0.09
"originally",0.09
"orthodox",0.09
"painter",0.09
"paintings",0.09
"part",0.09
"period",0.09
"preserved",0.09
"restored",0.09
"ruined",0.09
"still",0.09
"architect",0.08
"art",0.08
"back",0.08
"basilica",0.08
"bc",0.08
"beginning",0.08
"bronze",0.08
"conquered",0.08
"contains",0.08
"converted",0.08
"damaged",0.08
"decorated",0.08
"examples",0.08
"facade",0.08
"fell",0.08
"ii",0.08
"impressive",0.08
"jewish",0.08
"mentioned",0.08
"middle",0.08
"nicholas",0.08
"parish",0.08
"poet",0.08
"polish",0.08
"present",0.08
"renovated",0.08
"residence",0.08
"russian",0.08
"settlement",0.08
"square",0.08
"tomb",0.08
"town",0.08
"works",0.08
"world",0.08
"according",0.07
"altar",0.07
"bell",0.07
"came",0.07
"city",0.07
"complex",0.07
"della",0.07
"demolished",0.07
"european",0.07
"famous",0.07
"fine",0.07
"railway",0.07
"religious",0.07
"second",0.07
"surviving",0.07
"took",0.07
"war",0.07
"wooden",0.07
