"","believed"
"lord",0.24
"temple",0.18
"goddess",0.16
"shiva",0.15
"hindu",0.14
"pilgrims",0.13
"india",0.12
"said",0.12
"ancient",0.11
"sri",0.11
"worship",0.11
"brother",0.1
"called",0.1
"holy",0.1
"sacred",0.1
"temples",0.1
"delhi",0.09
"emperor",0.09
"famous",0.09
"god",0.09
"km",0.09
"known",0.09
"religious",0.09
"tamil",0.09
"built",0.08
"carved",0.08
"celebrated",0.08
"literature",0.08
"muslim",0.08
"performed",0.08
"tomb",0.08
"according",0.07
"buddhist",0.07
"district",0.07
"legend",0.07
"popularly",0.07
"rs",0.07
"situated",0.07
"son",0.07
"stone",0.07
