"","volcanic"
"volcano",0.35
"crater",0.23
"lava",0.21
"active",0.17
"island",0.13
"islands",0.13
"activity",0.1
"ash",0.09
"geological",0.09
"mount",0.08
"climb",0.07
"dolphins",0.07
"formed",0.07
