"","st"
"inn",0.32
"ave",0.31
"phone",0.29
"rd",0.28
"street",0.25
"motel",0.21
"dr",0.2
"restaurant",0.2
"su",0.2
"downtown",0.19
"bar",0.18
"f-sa",0.18
"house",0.18
"sa",0.17
"cafe",0.16
"grill",0.16
"miles",0.16
"arts",0.15
"historic",0.15
"main",0.15
"pizza",0.15
"blvd",0.14
"county",0.14
"hwy",0.14
"pub",0.14
"diner",0.13
"library",0.13
"mexican",0.13
"museum",0.13
"american",0.12
"antiques",0.12
"bed",0.12
"courthouse",0.12
"deli",0.12
"dining",0.12
"free",0.12
"gallery",0.12
"interstate",0.12
"lounge",0.12
"m-sa",0.12
"steakhouse",0.12
"suites",0.12
"tavern",0.12
"theatre",0.12
"us",0.12
"washington",0.12
"west",0.12
"avenue",0.11
"bistro",0.11
"club",0.11
"college",0.11
"east",0.11
"exit",0.11
"golf",0.11
"highway",0.11
"ln",0.11
"lunch",0.11
"music",0.11
"park",0.11
"saloon",0.11
"texas",0.11
"theater",0.11
"antique",0.1
"bakery",0.1
"breakfast",0.1
"campus",0.1
"chamber",0.1
"depot",0.1
"friday",0.1
"gift",0.1
"indoor",0.1
"john",0.1
"live",0.1
"mall",0.1
"ne",0.1
"nw",0.1
"saturday",0.1
"shop",0.1
"state",0.1
"store",0.1
"wireless",0.1
"art",0.09
"broadway",0.09
"center",0.09
"children",0.09
"commerce",0.09
"convention",0.09
"court",0.09
"creek",0.09
"exhibits",0.09
"features",0.09
"featuring",0.09
"fine",0.09
"grille",0.09
"irish",0.09
"labor",0.09
"m-th",0.09
"memorial",0.09
"menu",0.09
"north",0.09
"outdoor",0.09
"patio",0.09
"railroad",0.09
"sandwiches",0.09
"se",0.09
"selection",0.09
"steak",0.09
"victorian",0.09
"bbq",0.08
"brewing",0.08
"classic",0.08
"coffee",0.08
"corner",0.08
"course",0.08
"espresso",0.08
"family",0.08
"history",0.08
"homemade",0.08
"italian",0.08
"lane",0.08
"lincoln",0.08
"m-f",0.08
"mill",0.08
"monday",0.08
"movie",0.08
"parking",0.08
"pets",0.08
"pioneer",0.08
"pkwy",0.08
"queen",0.08
"ranch",0.08
"register",0.08
"rodeo",0.08
"route",0.08
"seniors",0.08
"society",0.08
"south",0.08
"ste",0.08
"sunday",0.08
"th",0.08
"tu-sa",0.08
"university",0.08
"vintage",0.08
"weekend",0.08
"acre",0.07
"books",0.07
"boston",0.07
"box",0.07
"burgers",0.07
"casual",0.07
"chain",0.07
"craft",0.07
"dinner",0.07
"drive-",0.07
"exits",0.07
"favorite",0.07
"festival",0.07
"fitness",0.07
"george",0.07
"gourmet",0.07
"jefferson",0.07
"mile",0.07
"oak",0.07
"open",0.07
"performing",0.07
"rv",0.07
"seating",0.07
"sports",0.07
"steaks",0.07
"symphony",0.07
"transit",0.07
"united",0.07
"york",0.07
