"","entrance"
"fee",0.23
"ticket",0.14
"inside",0.11
"left",0.11
"pay",0.11
"walk",0.11
"ask",0.1
"gate",0.1
"price",0.1
"right",0.1
"building",0.09
"cost",0.09
"costs",0.09
"driver",0.09
"floor",0.09
"opposite",0.09
"rooms",0.09
"take",0.09
"will",0.09
"back",0.08
"behind",0.08
"decorated",0.08
"follow",0.08
"free",0.08
"modern",0.08
"next",0.08
"per",0.08
"side",0.08
"steep",0.08
"top",0.08
"turn",0.08
"wait",0.08
"another",0.07
"budget",0.07
"buy",0.07
"cave",0.07
"cheap",0.07
"clean",0.07
"complex",0.07
"enter",0.07
"every",0.07
"exhibition",0.07
"frescoes",0.07
"front",0.07
"guide",0.07
"look",0.07
"meters",0.07
"nice",0.07
"open",0.07
"outside",0.07
"sign",0.07
"taxi",0.07
"tickets",0.07
"tour",0.07
"towards",0.07
"walls",0.07
