"","fun"
"great",0.15
"family",0.14
"bar",0.12
"dining",0.12
"enjoy",0.12
"kids",0.12
"live",0.12
"atmosphere",0.11
"downtown",0.11
"outdoor",0.11
"place",0.11
"variety",0.11
"american",0.1
"casual",0.1
"dinner",0.1
"food",0.1
"friendly",0.1
"full",0.1
"indoor",0.1
"menu",0.1
"music",0.1
"offer",0.1
"offers",0.1
"play",0.1
"restaurant",0.1
"right",0.1
"selection",0.1
"sports",0.1
"'re",0.09
"activities",0.09
"always",0.09
"ave",0.09
"bars",0.09
"best",0.09
"course",0.09
"cream",0.09
"delicious",0.09
"events",0.09
"favorite",0.09
"features",0.09
"free",0.09
"games",0.09
"ice",0.09
"italian",0.09
"looking",0.09
"lunch",0.09
"mall",0.09
"night",0.09
"perfect",0.09
"pizza",0.09
"plenty",0.09
"something",0.09
"store",0.09
"affordable",0.08
"art",0.08
"beer",0.08
"breakfast",0.08
"cafe",0.08
"children's",0.08
"classes",0.08
"club",0.08
"courses",0.08
"cuisine",0.08
"definitely",0.08
"drinks",0.08
"exciting",0.08
"experience",0.08
"fresh",0.08
"golf",0.08
"grill",0.08
"happy",0.08
"homemade",0.08
"lots",0.08
"movie",0.08
"offering",0.08
"open",0.08
"playing",0.08
"pool",0.08
"rd",0.08
"shop",0.08
"shopping",0.08
"show",0.08
"specials",0.08
"street",0.08
"things",0.08
"try",0.08
"unique",0.08
"upscale",0.08
"weekend",0.08
"wide",0.08
"array",0.07
"birthday",0.07
"blvd",0.07
"chain",0.07
"check",0.07
"chicken",0.07
"children",0.07
"classic",0.07
"dance",0.07
"dive",0.07
"featuring",0.07
"feel",0.07
"find",0.07
"fine",0.07
"friends",0.07
"including",0.07
"just",0.07
"like",0.07
"lounge",0.07
"mexican",0.07
"nights",0.07
"owned",0.07
"park",0.07
"sandwiches",0.07
"seafood",0.07
"stores",0.07
"suites",0.07
"sure",0.07
"tons",0.07
"watch",0.07
