"","tiger"
"india",0.12
"sanctuary",0.11
"project",0.1
"singapore",0.1
"gauge",0.09
"forest",0.08
"monsoon",0.08
"safari",0.08
"spices",0.08
"wildlife",0.08
"elephant",0.07
"jungle",0.07
"reserve",0.07
