"","pirate"
"ship",0.16
"crew",0.14
"supposedly",0.13
"cove",0.11
"sandy",0.1
"famed",0.09
"nova",0.09
"shelter",0.09
"treasure",0.09
"said",0.08
"mansions",0.07
"sail",0.07
"seven",0.07
