"","washington"
"columbia",0.16
"downtown",0.16
"american",0.13
"george",0.13
"state",0.13
"county",0.12
"jefferson",0.12
"page",0.12
"st",0.12
"virginia",0.12
"ave",0.11
"inn",0.11
"sound",0.11
"transit",0.11
"avenue",0.1
"historic",0.1
"juan",0.1
"phone",0.1
"york",0.1
"amtrak",0.09
"arts",0.09
"center",0.09
"interstate",0.09
"marriott",0.09
"miles",0.09
"park",0.09
"route",0.09
"street",0.09
"tavern",0.09
"united",0.09
"acre",0.08
"civil",0.08
"commuter",0.08
"dining",0.08
"features",0.08
"featuring",0.08
"harbor",0.08
"jersey",0.08
"liberty",0.08
"metro",0.08
"named",0.08
"olympic",0.08
"pike",0.08
"states",0.08
"william",0.08
"america's",0.07
"brews",0.07
"exit",0.07
"f-sa",0.07
"feet",0.07
"friday",0.07
"lincoln",0.07
"register",0.07
"shoreline",0.07
"symphony",0.07
"turnpike",0.07
