"","football"
"stadium",0.26
"team",0.24
"league",0.21
"matches",0.17
"play",0.17
"cricket",0.15
"rugby",0.15
"plays",0.13
"teams",0.13
"university",0.13
"games",0.12
"playing",0.12
"soccer",0.12
"sports",0.12
"baseball",0.11
"basketball",0.11
"campus",0.11
"manchester",0.11
"clubs",0.1
"hall",0.1
"played",0.1
"shopping",0.1
"arena",0.09
"club",0.09
"home",0.09
"leisure",0.09
"match",0.09
"student",0.09
"venues",0.09
"athletic",0.08
"bars",0.08
"college",0.08
"cup",0.08
"division",0.08
"fans",0.08
"game",0.08
"music",0.08
"opened",0.08
"pub",0.08
"students",0.08
"venue",0.08
"art",0.07
"centre",0.07
"club'''",0.07
"compete",0.07
"concert",0.07
"events",0.07
"field",0.07
"night",0.07
"pubs",0.07
"theatre",0.07
"unusual",0.07
